icon,name,buff
Baby_Dinosaur_(pet).png,https://terraria.fandom.com/wiki/Baby_Dinosaur,Baby_Dinosaur_(buff).png
Baby_Eater.png,https://terraria.fandom.com/wiki/Baby_Eater,Baby_Eater_(buff).png
Baby_Face_Monster.png,https://terraria.fandom.com/wiki/Baby_Face_Monster,Baby_Face_Monster_(buff).png
Baby_Grinch.png,https://terraria.fandom.com/wiki/Grinch,Baby_Grinch_(buff).png
Baby_Hornet.png,https://terraria.fandom.com/wiki/Baby_Hornet,Baby_Hornet_(buff).png
Baby_Imp.png,https://terraria.fandom.com/wiki/Baby_Imp,Baby_Imp_(buff).png
Baby_Penguin.png,https://terraria.fandom.com/wiki/Baby_Penguin,Baby_Penguin_(buff).png
Baby_Red_Panda.png,https://terraria.fandom.com/wiki/Baby_Red_Panda,Baby_Red_Panda_(buff).png
Baby_Skeletron_Head.png,https://terraria.fandom.com/wiki/Baby_Skeletron_Head,Baby_Skeletron_Head_(buff).png
Baby_Snowman.png,https://terraria.fandom.com/wiki/Baby_Snowman,Baby_Snowman_(buff).png
Baby_Truffle.png,https://terraria.fandom.com/wiki/Baby_Truffle,Baby_Truffle_(buff).png
Baby_Werewolf.png,https://terraria.fandom.com/wiki/Baby_Werewolf,Baby_Werewolf_(buff).png
Bernie.gif,https://terraria.fandom.com/wiki/Bernie,Bernie_(buff).png
Black_Cat.png,https://terraria.fandom.com/wiki/Black_Cat,Black_Cat_(buff).png
Blue_Chicken.png,https://terraria.fandom.com/wiki/Blue_Chicken,Blue_Chicken_(buff).png
Bunny_Pet.png,https://terraria.fandom.com/wiki/Bunny_Pet,Pet_Bunny_(buff).png
Caveling_Gardener.png,https://terraria.fandom.com/wiki/Caveling_Gardener,Caveling_Gardener_(buff).png
Chester.png,https://terraria.fandom.com/wiki/Chester,Chester_(buff).png
Companion_Cube_(pet).png,https://terraria.fandom.com/wiki/Companion_Cube_(pet),Companion_Cube_(buff).png
Cursed_Sapling_(pet).png,https://terraria.fandom.com/wiki/Cursed_Sapling_(pet),Cursed_Sapling_(buff).png
Dynamite_Kitten.png,https://terraria.fandom.com/wiki/Dynamite_Kitten,Dynamite_Kitten_(buff).png
Estee.gif,https://terraria.fandom.com/wiki/Estee,Estee.png
Eyeball_Spring_Pet.png,https://terraria.fandom.com/wiki/Eyeball_Spring,Eyeball_Spring_(buff).png
Fennec_Fox.png,https://terraria.fandom.com/wiki/Fennec_Fox,Fennec_Fox_(buff).png
Glittery_Butterfly.png,https://terraria.fandom.com/wiki/Glittery_Butterfly,Glittery_Butterfly_(buff).png
Glommer.png,https://terraria.fandom.com/wiki/Glommer,Glommer_(buff).png
Hoardagron.png,https://terraria.fandom.com/wiki/Hoardagron,Hoardagron_(buff).png
Junimo.png,https://terraria.fandom.com/wiki/Junimo,Junimo_(buff).png
Lil_Harpy.png,https://terraria.fandom.com/wiki/Lil%27_Harpy,Lil_Harpy_(buff).png
Pet_Lizard.png,https://terraria.fandom.com/wiki/Pet_Lizard,Pet_Lizard_(buff).png
Mini_Minotaur.png,https://terraria.fandom.com/wiki/Mini_Minotaur,Mini_Minotaur_(buff).png
Parrot_(pet).png,https://terraria.fandom.com/wiki/Parrot_Cracker,Pet_Parrot_(buff).png
Pig_Man.png,https://terraria.fandom.com/wiki/Pig_Man,Pig_(buff).png
Plantero.png,https://terraria.fandom.com/wiki/Plantero,Plantero_(buff).png
Propeller_Gato.png,https://terraria.fandom.com/wiki/Propeller_Gato,Propeller_Gato_(buff).png
Puppy.png,https://terraria.fandom.com/wiki/Puppy,Puppy_(buff).png
Pet_Sapling.png,https://terraria.fandom.com/wiki/Pet_Sapling,Pet_Sapling_(buff).png
Pet_Spider.png,https://terraria.fandom.com/wiki/Pet_Spider,Pet_Spider_(buff).png
Shadow_Mimic_(pet).png,https://terraria.fandom.com/wiki/Shadow_Mimic_(pet),Shadow_Mimic_(buff).png
Shark_Pup.png,https://terraria.fandom.com/wiki/Shark_Pup,Shark_Pup_(buff).png
Spiffo.png,https://terraria.fandom.com/wiki/Spiffo,Spiffo_(buff).png
Squashling.png,https://terraria.fandom.com/wiki/Squashling,Squashling_(buff).png
Sugar_Glider.png,https://terraria.fandom.com/wiki/Sugar_Glider,Sugar_Glider_(buff).png
The_Dirtiest_Block.png,https://terraria.fandom.com/wiki/The_Dirtiest_Block,The_Dirtiest_Block_(buff).png
Tiki_Spirit.png,https://terraria.fandom.com/wiki/Tiki_Spirit,Tiki_Spirit_(buff).png
Pet_Turtle.png,https://terraria.fandom.com/wiki/Pet_Turtle,Pet_Turtle_(buff).png
Volt_Bunny.png,https://terraria.fandom.com/wiki/Volt_Bunny,Volt_Bunny_(buff).png
Zephyr_Fish_(pet).png,https://terraria.fandom.com/wiki/Zephyr_Fish_(pet),Zephyr_Fish_(buff).png
